source_wallet,txn_count,No_Days_Active,initial_funding,Last_txn_out,current_balance,first_transaction_date,last_trasaction_date
0x22193c716480e1d97e436b83b80b5b1b9446dfb5,1,1,17.6,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.170813380534,2023-01-01 00:00:00,2023-01-01 00:00:00
0x90876256884227ca24babf9109b27c6d0c4a47ea,2,1,9.9,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,6.888650554783862,2023-01-01 00:00:00,2023-01-01 00:00:00
0x407323bee2ae3d90819a3f32cfca086daedc8ab9,22,8,49.61563572,0x2469e0a2b2ffb664500b6c1132ae2f9fc4050abc,31.9760925747364,2022-10-20 00:00:00,2023-01-12 00:00:00
0x01e8f8281e4d32fd5458c54c08f8c01d483d4e4f,7,2,0.099959849934268,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0026803147451689,2022-09-12 00:00:00,2022-12-19 00:00:00
0xdf3031b20f90f9a4a436abc4c6c567c8ddff5651,33,6,72.917,0x7ff2520cd7b76e8c49b5db51505b842d665f3e9a,0.6453330524710458,2021-10-24 00:00:00,2022-12-17 00:00:00
0xe4fb7e45f7d3ee5c36fee81e443dca88e5df2384,7,5,44.4,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,8.629285592244187,2022-11-02 00:00:00,2022-12-20 00:00:00
0x6e38179c841678d9d3081d510f78e475aed758e7,1,1,16.95,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.7650131728728355,2022-12-31 00:00:00,2022-12-31 00:00:00
0x9f685ece3ff1205df5645b31b15336bb45eef509,1,1,0.1,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0283221695801617,2023-01-01 00:00:00,2023-01-01 00:00:00
0xa1be60a3dd728c15004344ace9039dae426a707b,152,15,0.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.3131316160679224,2022-02-27 00:00:00,2022-12-30 00:00:00
0xc82cd57bc77804402c3dae5115868e604d7ef8d6,157,23,0.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,4.029021169426668,2021-11-21 00:00:00,2022-12-13 00:00:00
0x47542d8ab7baf612963e33c2b7ce974dd199a382,1,1,2.16,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,35.97213119707818,2023-01-01 00:00:00,2023-01-01 00:00:00
0xdf2ae14470a3176aac5e5f5d1bb345d8d0c498f5,2,1,20.9,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.692993464142167,2022-12-16 00:00:00,2022-12-16 00:00:00
0x49e92e6bda6551ffa490ff896f0592a2354583fc,2,1,10.13062758,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,6.129251225558178,2022-12-20 00:00:00,2022-12-20 00:00:00
0x89710322fc29c2c9e532406d0aab5b21687b20f5,2,1,20.2,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.1961474328684393,2022-12-20 00:00:00,2022-12-20 00:00:00
0x7401bf8a86de847a545168a336033c40b5d6f59b,1,1,1.04,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.1403543811893473,2022-12-29 00:00:00,2022-12-29 00:00:00
0xc0b6389713bf59be9e77be9a4e4311fed48c8d38,32,7,37.99,0xd4d615f75a568e8914db8800bc35535e9fa862f5,0.0184633762816385,2022-02-17 00:00:00,2022-12-17 00:00:00
0xfd71af119be70de08b39f0b7b4785fb9bbbfeb11,17,8,1038.702,0x11c8af189cace6580606d62ce2776b069909485a,2.373327704394605,2022-12-16 00:00:00,2022-12-28 00:00:00
0x2b87d5e1747cb1e00c609047787049cb13cc688e,1,1,0.3,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.8950377537775162,2022-12-25 00:00:00,2022-12-25 00:00:00
0xfa778a2bd937a8e17ea0ea15f9c1a3e97d81ade1,2,1,27.77,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,3.516858916266041,2022-12-19 00:00:00,2022-12-19 00:00:00
0xbe51437cab7360182ac04f64189ce28f6d69f355,92,19,139.99,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,2.9301705355898617,2021-03-24 00:00:00,2022-12-19 00:00:00
0xfd89d2566ea385fe46904640cd570b7ce638141b,1,1,12.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.6820455007597723,2022-12-26 00:00:00,2022-12-26 00:00:00
0xe10a337549a4e2dea26188fbf6d9ca9f56b3f19d,27,9,277.89,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,24.897208720687424,2021-05-09 00:00:00,2022-12-15 00:00:00
